Date,Open,High,Low,Close,Adj Close,Volume
2023-11-15,0.117468,0.121007,0.121214,0.122388,0.122388,463374
2023-11-16,0.122397,0.124377,0.122150,0.123184,0.123184,447120
2023-11-17,0.123179,0.124393,0.123319,0.123739,0.123739,484464
2023-11-18,0.123780,0.123637,0.124804,0.124764,0.124764,402149
2023-11-19,0.124764,0.124490,0.124518,0.124772,0.124772,346189
2023-11-20,0.124781,0.123113,0.124583,0.122567,0.122567,307206
2023-11-21,0.122566,0.128468,0.120286,0.125424,0.125424,637425
2023-11-22,0.125429,0.135230,0.115794,0.117133,0.117133,1282880
2023-11-23,0.117120,0.114339,0.116705,0.114413,0.114413,648343
2023-11-24,0.114393,0.115381,0.112897,0.113346,0.113346,371747
2023-11-25,0.113339,0.111446,0.110961,0.111902,0.111902,341077
2023-11-26,0.111910,0.112850,0.111777,0.112486,0.112486,265343
2023-11-27,0.112480,0.112512,0.111969,0.112514,0.112514,293995
2023-11-28,0.112483,0.112515,0.111583,0.112167,0.112167,392375
2023-11-29,0.112171,0.111824,0.112438,0.112090,0.112090,329042
2023-11-30,0.112090,0.111612,0.112062,0.112027,0.112027,296764
2023-12-01,0.112027,0.112221,0.111496,0.110952,0.110952,278958
2023-12-02,0.110954,0.109530,0.110981,0.109474,0.109474,293031
2023-12-03,0.109471,0.105826,0.107893,0.105869,0.105869,290352
2023-12-04,0.105864,0.106875,0.105119,0.103980,0.103980,327989
2023-12-05,0.103970,0.104723,0.101846,0.104006,0.104006,953607
2023-12-06,0.104012,0.104298,0.104240,0.100828,0.100828,371446
2023-12-07,0.100829,0.102897,0.102733,0.102733,0.102733,380763
2023-12-08,0.102781,0.103464,0.102771,0.098838,0.098838,345215
2023-12-09,0.098831,0.101039,0.098953,0.101292,0.101292,351464
2023-12-10,0.101291,0.102332,0.101678,0.101548,0.101548,365906
2023-12-11,0.101559,0.102585,0.102245,0.101906,0.101906,272108
2023-12-12,0.101921,0.111144,0.103499,0.110781,0.110781,648391
2023-12-13,0.110757,0.117105,0.110340,0.115543,0.115543,633198
2023-12-14,0.115502,0.112241,0.113695,0.111655,0.111655,465408
2023-12-15,0.111648,0.109223,0.110391,0.109469,0.109469,378285
2023-12-16,0.109458,0.109472,0.109927,0.110294,0.110294,346507
2023-12-17,0.110293,0.109973,0.109936,0.109727,0.109727,292537
2023-12-18,0.109727,0.109574,0.108800,0.109007,0.109007,296156
2023-12-19,0.108979,0.108802,0.109403,0.108802,0.108802,392973
2023-12-20,0.108801,0.116502,0.108801,0.116036,0.116036,576120
2023-12-21,0.116032,0.116864,0.114847,0.118134,0.118134,478374
2023-12-22,0.118153,0.123047,0.117246,0.121114,0.121114,528434
2023-12-23,0.121127,0.122054,0.116820,0.116635,0.116635,436138
2023-12-24,0.116637,0.118102,0.117092,0.117504,0.117504,301228
2023-12-25,0.117498,0.117703,0.116526,0.116855,0.116855,354694
2023-12-26,0.116863,0.116939,0.116369,0.117539,0.117539,325089
2023-12-27,0.117538,0.134633,0.116744,0.133411,0.133411,870238
2023-12-28,0.133436,0.136126,0.129095,0.135987,0.135987,795726
2023-12-29,0.136041,0.140313,0.134629,0.137887,0.137887,846973
2023-12-30,0.137850,0.137857,0.134548,0.136445,0.136445,615429
2023-12-31,0.136429,0.139052,0.136689,0.138383,0.138383,393185
2024-01-01,0.138340,0.142259,0.136522,0.136925,0.136925,417765
